,Type,Gender,FurLength,agecat,breedcat,namecat,descriptcat,colorcat,colorcat2,healthcat,statecat,MaturitySizecat,Photocat,quantitycat,paidcat,Target
1552,1,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1
1553,2,1,2,4,2,1,0,0,0,1,1,0,1,0,0,0
1554,1,2,2,3,2,0,0,1,1,1,1,1,3,0,0,1
1555,2,2,2,4,0,1,0,2,1,1,1,0,0,0,0,1
1556,1,2,1,4,2,0,1,2,1,1,0,1,1,0,0,1
1557,2,1,1,0,2,0,0,0,0,0,0,0,3,0,0,1
1558,1,2,1,0,0,0,0,1,1,1,1,1,5,0,0,0
1559,1,1,2,4,2,0,0,0,0,1,0,0,2,0,0,1
1560,2,2,2,4,0,0,1,2,1,0,1,1,5,0,0,1
1561,1,2,2,2,0,0,0,1,1,0,0,1,3,0,0,0
1562,1,1,2,3,2,1,0,2,1,1,0,0,3,0,0,1
1563,1,1,2,4,0,0,0,1,0,0,1,1,3,0,0,0
1564,1,2,1,4,0,0,0,1,1,1,0,1,1,0,0,0
1565,2,3,2,0,2,1,0,2,1,1,1,0,3,1,0,0
1566,2,2,1,1,2,1,0,1,0,0,1,1,5,0,0,1
1567,2,1,2,3,2,0,0,1,1,1,1,0,3,0,1,0
1568,1,2,2,2,0,0,0,1,0,1,0,0,2,1,0,1
1569,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1
1570,1,1,1,1,0,1,0,2,1,1,1,1,5,0,0,1
1571,1,3,1,0,0,0,0,2,1,1,1,1,5,1,0,1
1572,2,3,1,1,2,0,1,2,1,0,1,1,5,1,0,1
1573,1,3,2,0,0,0,0,2,1,0,1,1,5,1,0,1
1574,1,1,1,2,0,0,1,1,1,0,1,1,5,0,0,1
1575,1,2,2,4,2,1,0,1,1,0,1,1,2,0,0,1
1576,2,2,2,3,0,1,0,2,1,0,0,1,3,0,1,0
1577,2,1,1,3,2,0,0,1,0,0,1,1,3,0,0,1
1578,1,2,2,4,2,0,1,0,0,1,0,0,2,0,1,1
1579,1,2,2,0,0,0,0,0,1,0,1,1,3,0,0,1
1580,2,3,1,2,2,0,0,2,1,0,0,1,3,1,0,1
1581,2,1,2,4,0,1,1,0,0,0,0,1,3,0,1,1
1582,1,2,1,4,0,1,0,2,1,1,1,1,5,0,0,0
1583,2,1,1,1,2,0,0,1,1,0,0,1,1,0,0,1
1584,1,1,1,3,0,0,0,1,1,1,1,0,3,0,0,1
1585,1,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1
1586,1,2,2,0,0,0,0,1,1,0,1,1,1,0,0,1
1587,2,2,2,3,0,0,0,1,1,0,1,1,5,1,0,1
1588,1,2,1,2,0,0,0,1,1,1,1,0,3,0,1,1
1589,2,2,2,2,2,0,0,0,0,1,1,1,3,0,0,1
1590,1,1,2,3,0,0,0,2,0,0,1,1,3,0,0,1
1591,1,2,2,4,0,0,0,1,1,1,0,1,2,0,1,0
1592,1,2,2,4,2,1,0,1,1,0,1,0,4,0,0,1
1593,1,2,1,0,0,1,0,0,1,1,0,0,1,1,1,0
1594,1,2,2,4,2,0,0,1,1,1,1,0,3,0,0,1
1595,1,2,1,1,0,0,0,0,0,0,1,1,4,0,1,1
1596,1,1,1,3,0,1,0,1,1,1,0,0,5,0,0,1
1597,1,1,2,1,0,0,0,1,1,0,1,1,4,0,0,1
1598,1,2,2,2,0,0,0,1,1,1,1,1,4,0,0,1
1599,1,2,1,3,0,1,0,0,1,1,0,1,3,0,1,0
1600,2,2,1,0,2,0,0,2,1,0,1,0,1,0,0,1
1601,1,2,1,4,2,0,0,0,1,1,1,0,1,0,0,1
1602,2,1,1,3,2,0,0,0,0,1,1,1,3,1,0,1
1603,2,2,1,2,2,1,0,0,0,0,0,0,2,0,0,0
1604,1,1,1,1,0,1,0,1,1,0,1,1,2,0,0,1
1605,2,2,1,0,2,1,0,1,1,0,0,0,1,0,0,0
1606,1,1,1,1,0,0,0,1,1,0,1,1,3,0,0,1
1607,2,3,2,1,0,1,0,0,0,0,0,0,4,1,0,0
1608,2,3,1,2,2,1,1,2,1,0,0,0,5,1,0,1
1609,1,2,2,0,0,0,0,2,1,1,0,1,1,0,0,0
1610,1,2,1,3,0,0,0,2,1,0,1,1,2,0,0,0
1611,2,2,2,3,2,0,1,2,1,0,0,1,3,0,1,1
1612,1,2,1,1,0,0,0,1,0,1,1,0,3,0,1,1
1613,1,1,1,2,0,0,0,0,0,1,0,1,5,0,0,1
1614,1,1,1,1,0,0,1,1,1,0,1,1,4,1,0,0
1615,1,3,2,3,2,0,0,1,1,1,0,1,5,1,0,1
1616,1,2,1,1,0,0,0,2,1,0,0,1,5,0,0,1
1617,1,2,2,4,0,0,0,0,0,1,1,1,1,0,1,0
1618,2,3,1,0,2,0,0,2,1,0,1,1,4,1,0,1
1619,1,2,1,2,0,0,0,1,0,1,0,1,1,0,1,0
1620,2,2,1,2,2,0,0,0,1,0,1,1,3,0,0,1
1621,2,3,1,1,2,1,0,1,0,0,0,1,4,1,0,1
1622,1,2,1,1,0,0,0,2,1,0,1,1,5,1,0,0
1623,1,3,2,0,0,0,0,1,1,0,1,1,3,1,0,1
1624,1,1,1,2,0,0,0,0,1,0,1,1,1,0,0,1
1625,2,2,1,3,2,0,0,1,1,0,1,0,1,0,0,1
1626,2,3,2,2,0,0,1,1,1,1,1,1,4,1,1,1
1627,1,1,1,0,0,1,0,0,1,0,0,1,4,0,0,0
1628,2,1,2,2,0,0,0,0,0,1,1,1,5,0,0,1
1629,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,1
1630,1,1,1,1,0,0,0,1,1,0,0,1,3,0,1,0
1631,2,1,1,2,2,0,0,2,1,1,1,1,5,0,0,1
1632,2,1,2,1,2,0,0,1,1,1,0,1,1,0,0,1
1633,2,3,2,1,0,0,0,2,1,0,1,1,3,1,0,1
1634,2,2,1,3,2,0,0,1,1,1,1,1,3,0,0,1
1635,2,1,1,1,2,0,0,1,1,0,0,1,5,0,0,1
1636,2,1,1,1,2,0,0,1,1,0,1,0,5,0,0,1
1637,1,2,1,4,2,0,0,1,0,0,0,1,3,0,0,1
1638,2,1,1,0,2,0,0,2,1,0,0,1,4,1,0,1
1639,1,1,2,2,2,0,0,0,1,0,1,0,0,0,1,0
1640,2,2,2,1,2,0,0,2,1,0,0,1,5,0,0,0
1641,2,2,2,2,2,0,0,0,0,1,0,1,3,0,0,0
1642,1,2,1,3,0,0,0,1,1,0,0,1,3,0,0,1
1643,1,3,1,0,0,0,0,2,1,0,1,1,5,1,0,0
1644,2,1,2,1,0,0,0,1,1,1,0,1,4,0,0,1
1645,1,3,2,0,0,0,0,1,1,0,1,0,3,1,0,1
1646,2,1,2,3,0,0,0,2,1,1,1,1,3,0,0,1
1647,1,3,2,0,0,0,0,1,1,0,1,0,3,1,0,1
1648,1,2,1,2,0,1,0,0,1,0,1,0,1,0,0,1
1649,2,2,2,2,0,0,0,0,1,0,1,1,3,1,0,1
1650,1,1,2,2,0,0,0,0,1,0,1,1,3,0,0,1
1651,1,2,1,4,0,0,0,1,1,1,1,0,4,0,0,0
1652,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0
1653,1,3,1,2,0,0,0,1,1,0,1,1,2,1,0,1
1654,2,1,2,4,0,0,0,2,1,1,1,0,3,0,0,0
1655,1,2,1,0,0,0,0,1,1,1,1,1,5,0,0,0
1656,2,2,1,2,2,0,0,1,1,0,0,0,1,0,0,0
1657,2,2,1,2,2,1,1,2,1,0,1,1,2,0,1,0
1658,2,1,1,2,2,1,0,2,1,0,0,0,5,0,0,1
1659,2,3,1,3,0,0,1,2,0,0,1,1,0,1,0,1
1660,2,2,1,2,2,1,0,2,0,0,0,1,3,0,0,1
1661,1,1,2,4,2,0,0,2,0,0,1,0,5,0,0,1
1662,2,1,2,1,2,0,0,1,0,0,1,0,2,0,1,1
1663,1,1,2,2,0,0,0,1,0,0,1,1,5,0,0,1
1664,2,2,1,2,2,0,0,1,1,0,1,1,2,0,0,1
1665,1,2,1,1,0,1,0,1,1,0,1,1,1,0,0,1
1666,1,1,2,4,2,0,0,0,0,1,1,0,1,0,0,1
1667,2,2,1,3,2,0,1,1,0,0,0,1,3,0,0,1
1668,2,3,1,0,2,1,0,2,1,0,1,0,5,1,0,1
1669,1,3,1,0,0,0,0,2,1,0,0,0,2,1,0,1
1670,2,1,2,3,2,0,1,1,0,0,0,0,3,0,0,0
1671,1,1,2,4,2,0,0,0,0,0,0,0,2,0,1,1
1672,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0
1673,2,2,2,2,2,1,0,0,1,0,1,1,4,0,1,0
1674,2,2,2,2,0,0,1,2,1,0,1,1,3,0,1,1
1675,1,1,1,1,0,0,0,2,1,0,1,0,3,0,1,1
1676,2,3,2,1,0,0,0,2,1,0,1,0,3,1,0,1
1677,2,2,1,3,2,0,0,2,1,1,1,0,2,0,0,1
1678,1,1,2,0,0,0,0,1,1,0,1,1,2,0,0,1
1679,1,2,2,4,2,0,0,1,1,1,1,0,4,0,0,1
1680,1,2,1,2,0,0,0,0,1,0,1,1,3,0,0,0
1681,1,2,1,1,0,1,0,1,1,0,0,1,1,0,0,0
1682,2,1,2,3,0,1,0,1,0,0,0,1,1,0,0,0
1683,1,1,1,1,0,1,0,0,1,0,1,0,2,1,0,1
1684,1,2,2,2,0,0,0,1,1,1,1,0,5,1,0,1
1685,2,2,1,2,2,0,0,0,1,0,0,0,2,0,0,1
1686,1,2,1,0,2,0,0,2,1,0,1,0,4,1,1,0
1687,1,2,2,4,2,0,0,0,0,1,1,1,4,0,0,1
1688,2,1,1,3,2,1,0,2,0,0,1,1,5,1,0,0
1689,2,2,1,2,2,0,0,0,1,0,0,0,1,0,0,1
1690,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0
1691,1,1,1,1,0,1,0,2,1,1,1,1,5,0,0,1
1692,1,2,1,3,0,0,0,1,1,1,0,1,2,0,0,1
1693,2,1,1,1,0,1,0,0,0,1,1,0,2,0,0,1
1694,2,2,1,4,2,0,0,1,0,1,1,1,1,0,0,1
1695,1,1,2,3,0,1,0,1,1,0,0,1,1,0,0,0
1696,1,2,1,0,0,0,0,1,1,0,1,1,3,0,0,1
1697,1,1,2,0,0,0,0,1,1,0,1,1,5,1,0,1
1698,1,1,2,1,0,0,0,0,1,1,1,1,4,0,0,1
1699,2,2,1,0,0,0,0,1,1,0,1,1,4,0,0,1
1700,1,1,2,1,0,0,0,1,1,0,0,1,2,0,0,0
1701,2,3,1,0,2,0,0,2,1,0,0,1,5,1,0,1
1702,1,1,1,2,0,0,0,0,1,1,1,1,5,0,0,1
1703,2,2,2,4,2,1,0,2,1,0,1,1,3,0,0,0
1704,1,1,2,1,0,1,0,0,1,1,0,0,3,0,0,0
1705,2,1,2,1,2,1,0,1,1,0,1,1,0,0,0,0
1706,2,2,1,4,2,1,0,1,1,0,0,0,3,0,1,1
1707,2,2,1,2,2,0,0,0,0,0,0,0,3,0,0,1
1708,2,2,2,3,0,0,0,1,0,1,0,1,3,0,1,1
1709,1,2,2,2,0,0,0,1,1,1,0,1,4,1,0,0
1710,1,2,2,0,0,0,0,1,0,0,0,0,3,1,0,0
1711,1,2,1,1,0,0,0,1,1,1,0,1,4,1,0,1
1712,2,3,1,3,2,0,0,2,0,1,1,1,3,1,0,1
1713,2,1,1,2,2,0,0,0,0,1,0,1,2,0,0,1
1714,1,2,2,1,0,1,0,0,1,1,1,1,2,0,0,1
1715,1,2,2,1,0,0,0,1,1,1,0,1,1,1,0,0
1716,2,1,1,2,2,0,0,1,0,0,1,0,3,0,0,1
1717,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1718,2,3,1,1,2,0,0,0,0,0,1,1,1,1,0,1
1719,1,2,1,3,0,0,0,0,1,0,1,1,1,1,0,0
1720,1,2,1,1,0,0,1,2,1,1,1,1,3,0,0,1
1721,1,1,2,4,0,1,0,1,1,1,1,0,1,0,0,1
1722,1,2,2,3,0,0,0,0,1,0,0,0,1,0,1,1
1723,1,2,1,2,0,0,0,1,1,0,0,1,4,0,0,1
1724,1,1,1,2,0,0,0,2,1,1,0,0,5,1,0,1
1725,2,2,2,4,0,0,0,1,0,1,1,1,3,0,0,1
1726,1,1,2,4,2,0,0,2,1,1,1,0,1,0,0,0
1727,2,1,1,1,0,1,0,1,0,0,1,1,3,0,1,0
1728,1,2,2,0,0,0,0,1,1,1,0,1,2,1,0,0
1729,2,1,2,0,0,1,0,2,1,0,1,1,1,0,0,0
1730,2,3,2,4,0,1,0,2,1,0,1,1,3,1,0,1
1731,2,2,1,0,2,1,0,2,0,0,1,1,4,1,0,1
1732,2,1,2,3,2,0,0,1,1,0,0,1,0,0,0,0
1733,1,1,1,1,0,1,1,1,1,0,0,1,2,0,0,1
1734,1,2,1,1,0,0,0,0,1,0,1,1,3,0,0,1
1735,2,1,2,3,2,1,0,1,0,1,1,0,3,0,0,1
1736,2,2,2,3,0,0,0,1,1,1,1,1,1,0,0,0
1737,2,1,1,1,2,0,0,2,1,0,1,1,5,0,0,1
1738,1,2,2,2,0,0,0,0,1,1,1,1,2,0,1,1
1739,2,2,2,0,0,1,1,2,1,0,0,0,3,0,0,1
1740,2,1,2,3,2,0,0,0,0,0,1,0,1,0,1,1
1741,1,3,1,0,0,0,0,2,1,0,1,0,1,1,0,0
1742,1,2,1,1,0,0,0,1,1,1,0,1,1,0,0,0
1743,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,1
1744,1,2,1,4,2,0,0,0,0,0,0,1,1,0,0,0
1745,2,2,1,3,2,0,0,0,0,0,1,1,3,0,0,1
1746,1,3,2,1,0,1,0,2,1,0,1,1,4,1,0,1
1747,2,3,1,3,2,1,0,2,1,0,1,1,4,1,1,0
1748,1,1,2,2,0,1,0,1,1,1,1,1,5,0,0,1
1749,1,1,1,1,0,1,0,1,1,0,0,1,2,0,0,0
1750,2,3,2,1,2,1,0,1,1,0,1,0,4,1,0,1
1751,2,2,1,3,2,0,0,2,1,0,0,0,4,0,0,0
1752,2,2,2,2,0,0,0,1,1,0,0,1,1,0,0,1
1753,1,1,1,4,0,1,1,1,1,0,1,1,4,0,0,1
1754,1,2,1,4,0,1,0,1,1,0,1,1,2,0,0,0
1755,1,2,1,3,0,1,0,0,1,1,1,1,1,0,0,0
1756,2,1,2,4,0,0,0,0,1,0,1,1,3,0,0,1
1757,1,2,1,1,0,0,0,2,1,0,1,1,5,1,0,1
1758,2,2,1,3,2,1,0,0,0,0,0,0,2,0,0,1
1759,1,2,1,1,0,0,0,2,1,1,1,1,3,0,0,1
1760,2,1,2,3,0,0,0,2,0,0,1,1,2,0,1,1
1761,1,1,2,4,2,0,0,1,0,1,0,0,1,0,0,1
1762,2,3,1,2,2,0,0,2,1,1,1,0,5,1,0,0
1763,2,1,1,2,2,0,0,0,0,0,0,1,2,0,0,1
1764,2,2,1,0,2,1,0,1,0,0,0,1,3,1,0,1
1765,2,1,1,2,2,0,0,1,0,1,0,0,4,0,0,1
1766,2,1,2,1,0,1,0,0,0,0,0,1,3,0,0,1
1767,1,2,1,0,0,0,0,0,0,1,1,1,2,0,0,1
1768,2,3,1,1,2,0,0,2,0,0,1,1,3,1,0,1
1769,1,2,1,2,0,1,0,0,0,0,1,1,5,0,0,1
1770,1,2,2,4,2,0,0,0,0,1,0,0,1,0,0,1
1771,2,2,1,1,2,1,0,2,0,0,1,1,5,1,0,1
1772,1,2,1,2,0,0,0,1,1,0,1,1,5,0,1,1
1773,2,2,2,3,0,0,0,1,1,1,1,1,4,0,0,1
1774,1,1,2,0,2,1,0,1,1,0,1,0,1,0,0,1
1775,1,1,1,2,0,0,0,2,1,0,0,0,2,0,1,0
1776,2,2,2,4,2,0,0,2,0,0,0,0,4,0,0,1
1777,2,3,1,1,2,1,0,1,1,0,1,1,3,1,0,1
1778,2,1,1,3,2,1,0,1,1,0,1,1,1,0,1,0
1779,2,2,1,4,0,1,1,1,1,0,1,1,3,0,0,0
1780,2,2,1,4,2,1,0,1,1,1,1,1,5,0,0,1
1781,2,2,2,4,0,0,1,2,0,0,0,1,2,0,0,1
1782,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0,1
1783,1,2,1,2,0,0,0,1,1,1,0,1,5,0,0,1
1784,2,2,1,4,2,0,0,2,1,1,0,1,4,0,1,0
1785,2,2,2,3,0,0,0,0,0,1,0,1,1,0,0,0
1786,1,2,2,1,0,1,0,2,1,0,1,1,3,0,0,0
1787,2,1,2,0,2,0,0,2,0,0,1,1,3,0,0,1
1788,2,1,1,1,2,0,0,0,0,1,1,0,4,1,0,1
1789,1,2,1,1,0,0,0,0,1,0,0,0,2,0,0,1
1790,2,2,1,1,2,1,0,2,1,0,1,1,1,1,0,1
1791,1,2,2,4,0,0,0,1,0,1,0,0,2,1,0,1
1792,1,1,1,4,2,0,0,0,1,1,0,1,1,0,0,1
1793,2,1,2,0,0,0,1,1,1,0,1,1,4,0,1,1
1794,1,3,1,1,0,0,0,2,1,1,0,0,1,1,0,0
1795,2,3,2,1,2,0,0,2,1,0,1,0,3,1,0,1
1796,2,1,2,0,0,0,1,2,0,0,1,1,4,0,1,1
1797,2,2,2,3,2,0,0,1,1,1,0,1,1,0,0,0
1798,2,3,1,0,2,1,0,2,1,0,0,0,1,1,0,1
1799,2,1,1,3,0,1,0,2,1,1,1,1,1,0,0,1
1800,1,2,1,2,0,0,0,2,1,0,1,1,4,0,0,1
1801,1,2,1,1,0,0,0,1,1,1,1,1,3,0,0,1
1802,2,2,1,4,2,0,0,2,1,1,1,1,2,0,0,1
1803,1,1,1,3,0,1,0,1,0,0,0,0,1,0,0,0
1804,1,2,1,1,0,0,0,1,1,1,1,1,3,1,0,1
1805,2,2,2,3,0,0,0,2,1,0,0,1,1,1,0,0
1806,2,2,1,1,2,0,0,2,1,0,0,0,4,0,0,1
1807,2,1,1,3,2,0,0,0,0,1,1,1,2,0,0,1
1808,1,2,2,3,0,0,0,2,0,1,1,1,4,0,0,1
1809,2,1,2,2,0,0,0,0,1,0,1,1,4,0,0,1
1810,2,2,2,4,2,0,0,1,0,0,1,1,3,0,0,1
1811,1,2,1,2,0,0,0,1,1,1,1,1,4,0,0,1
1812,1,1,1,4,2,0,0,0,1,1,0,0,2,0,0,1
1813,2,1,1,1,2,1,0,1,1,0,1,0,1,0,0,1
1814,2,3,1,0,0,1,0,1,0,0,1,1,3,1,0,1
1815,2,2,2,1,2,0,0,1,1,0,0,1,3,0,0,1
1816,1,2,1,1,0,1,0,0,1,1,0,1,3,0,0,1
1817,2,1,1,4,2,1,0,1,1,0,1,1,1,0,0,1
1818,1,2,1,3,0,0,1,1,0,0,1,1,5,0,0,1
1819,1,2,2,1,0,0,0,1,1,0,0,0,2,0,0,1
1820,2,1,2,4,2,1,0,2,0,0,0,0,1,0,0,1
1821,1,1,2,2,2,1,0,2,1,1,1,0,1,0,0,1
1822,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1
1823,2,3,1,1,2,1,0,2,1,0,1,1,2,1,0,1
1824,1,2,1,2,0,0,0,0,1,1,1,1,2,0,0,1
1825,1,1,1,3,2,1,1,0,1,0,0,1,3,0,1,1
1826,2,2,2,2,2,0,0,2,1,0,0,1,3,1,0,1
1827,1,2,2,4,2,0,0,0,0,0,0,0,2,0,0,1
1828,2,3,1,3,2,0,0,2,1,1,0,1,5,1,0,1
1829,2,3,1,0,2,1,0,1,0,0,0,0,0,1,0,0
1830,1,2,1,1,0,0,0,1,1,0,1,1,5,0,0,1
1831,2,1,1,3,2,0,0,1,1,0,0,1,3,0,0,1
1832,1,1,1,4,0,1,0,1,1,1,0,1,5,0,0,0
1833,1,1,2,3,0,0,0,1,0,0,0,1,5,0,0,0
1834,1,2,2,4,2,0,0,2,1,1,0,0,3,0,1,1
1835,2,1,2,2,0,1,0,1,0,1,1,0,2,0,0,1
1836,1,3,2,0,0,0,0,2,1,0,1,1,2,1,0,1
1837,1,2,2,4,2,0,0,0,1,1,1,1,3,0,1,1
1838,1,1,1,3,2,0,0,0,1,0,1,0,1,0,0,1
1839,2,2,2,1,2,0,1,1,1,0,0,0,5,0,1,1
1840,1,2,1,1,0,1,0,0,1,0,1,1,1,0,0,1
1841,2,1,1,2,2,0,0,2,1,0,0,1,0,0,0,0
1842,2,2,1,3,2,0,0,1,1,1,0,1,2,0,1,1
1843,2,2,1,3,2,0,0,2,1,0,1,1,2,0,0,0
1844,2,1,2,1,0,1,0,1,0,0,1,0,1,0,0,0
1845,1,2,1,1,0,1,0,2,1,0,1,1,1,1,0,0
1846,1,2,1,0,0,0,0,1,1,1,0,1,3,0,0,1
1847,2,2,2,2,0,1,0,2,1,0,1,1,4,1,0,1
1848,2,1,2,0,0,0,1,0,1,1,0,0,5,0,0,1
1849,2,1,1,2,0,1,0,0,1,0,1,1,4,0,0,1
1850,2,3,1,4,2,1,1,2,1,1,1,1,3,1,0,0
1851,1,1,1,0,0,0,0,1,1,0,1,1,3,0,0,0
1852,1,1,1,2,0,1,0,0,1,0,1,1,4,0,0,1
1853,2,1,1,2,2,0,0,1,1,0,0,0,3,0,0,0
1854,2,1,1,2,2,0,0,1,0,0,1,1,5,0,0,1
1855,2,2,2,3,0,0,0,0,0,0,1,0,1,0,0,1
1856,2,2,1,2,2,0,0,0,1,0,1,1,2,0,0,1
1857,2,1,1,0,2,0,0,2,0,0,0,1,4,0,0,1
1858,1,2,1,4,0,1,1,0,1,1,1,0,3,0,0,1
1859,2,3,2,2,0,1,0,2,1,1,1,1,3,1,0,1
1860,1,1,2,3,0,0,0,0,1,1,1,0,1,0,0,1
1861,2,1,2,4,0,1,0,0,0,0,1,1,2,0,1,0
1862,2,1,1,3,2,1,0,0,0,0,1,1,0,0,0,1
1863,2,1,1,1,2,1,0,1,0,0,0,1,3,0,0,1
1864,2,1,1,2,2,0,0,1,0,0,1,0,5,0,1,1
1865,1,2,1,1,0,0,0,0,1,0,1,1,5,0,0,1
1866,1,3,1,0,0,0,0,1,1,0,0,1,2,1,0,0
1867,1,1,1,4,2,0,0,1,0,0,1,0,0,0,0,1
1868,2,3,1,0,0,0,0,1,0,0,1,1,4,1,0,1
1869,1,2,2,4,0,1,0,1,1,0,1,1,3,0,0,1
1870,1,2,1,2,0,0,0,1,1,0,1,1,3,0,0,1
1871,1,2,1,2,0,1,0,0,1,0,0,1,3,0,0,0
1872,1,2,2,3,2,0,1,0,0,1,1,0,1,0,1,1
1873,1,2,2,3,0,0,0,0,0,1,1,0,2,0,0,0
1874,2,1,2,4,2,0,0,1,1,0,1,1,2,1,1,1
1875,1,2,1,3,2,0,0,0,1,1,0,0,1,0,1,1
1876,1,1,1,1,0,0,0,2,1,1,1,1,3,0,0,1
1877,1,2,2,1,0,0,0,0,1,1,1,1,3,1,0,1
1878,2,3,1,1,0,1,0,0,0,0,0,1,2,1,0,1
1879,1,2,1,4,0,1,0,2,1,0,1,1,1,0,0,1
1880,1,1,1,1,0,0,0,1,1,0,0,1,4,0,0,1
1881,1,2,1,2,0,0,0,0,1,1,1,1,1,0,0,0
1882,2,2,1,3,2,0,0,0,0,0,0,1,4,0,0,1
1883,2,3,1,2,2,1,0,2,1,0,0,0,3,1,0,0
1884,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,1
1885,1,1,2,3,2,1,0,1,1,1,1,1,2,0,0,1
1886,1,1,2,1,0,0,0,0,1,1,1,1,1,0,0,1
1887,2,3,2,1,0,1,0,2,1,0,1,1,1,1,0,1
1888,1,1,2,4,2,0,1,2,1,1,1,1,4,0,0,1
1889,1,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1
1890,1,1,1,3,0,0,1,2,1,1,1,0,2,0,0,0
1891,2,3,1,2,2,0,0,0,0,0,1,0,2,1,0,0
1892,2,2,1,1,2,0,0,2,0,0,0,0,3,0,0,1
1893,2,1,1,1,2,0,0,1,0,0,0,0,4,0,0,1
1894,2,2,1,0,2,0,0,2,1,0,0,0,1,0,0,1
1895,1,1,2,0,0,0,0,1,1,0,1,1,1,0,0,1
1896,2,2,2,3,0,0,0,0,0,1,1,0,3,0,1,1
1897,1,2,1,1,0,1,0,0,1,0,1,1,3,0,0,0
1898,1,1,1,4,0,0,0,0,1,1,0,1,1,0,0,1
1899,1,1,1,4,2,0,0,1,1,1,1,0,2,0,0,1
1900,1,3,1,2,0,0,0,1,1,1,0,1,3,1,0,1
1901,2,1,1,2,2,0,0,1,1,0,1,1,1,0,0,1
1902,1,2,2,0,0,0,0,1,1,0,0,1,5,0,0,1
1903,1,2,2,2,0,0,1,0,1,1,1,1,5,0,0,1
1904,2,1,2,3,2,1,0,0,1,1,0,0,3,0,0,0
1905,2,2,1,1,2,0,0,1,1,0,1,1,2,0,0,1
1906,1,1,2,1,0,0,0,2,1,0,1,1,5,1,0,1
1907,1,2,1,1,0,1,0,1,0,1,1,0,3,0,1,1
1908,1,1,2,3,0,0,0,0,0,0,0,1,4,0,0,1
1909,1,1,1,2,0,0,0,2,1,0,1,0,5,0,0,1
1910,2,2,1,3,0,0,0,0,0,1,0,1,3,0,1,0
1911,2,2,1,1,0,0,0,0,0,0,0,0,3,0,0,1
1912,2,3,1,0,2,0,0,1,1,0,1,0,4,1,0,0
1913,1,2,1,0,0,0,0,2,1,0,1,1,4,1,1,1
1914,1,2,1,2,0,1,0,0,1,1,0,0,3,0,0,1
1915,2,3,2,2,0,1,0,2,1,0,1,1,3,1,0,1
1916,2,1,1,2,2,1,0,1,0,0,0,1,3,1,0,1
1917,2,1,2,2,0,0,0,1,1,0,0,0,5,0,0,1
1918,2,2,1,3,2,0,0,1,1,1,0,1,3,0,0,0
1919,2,2,1,3,2,1,0,2,1,0,1,1,4,0,0,0
1920,1,2,1,2,0,0,0,0,1,1,1,1,5,0,1,1
1921,1,1,1,1,0,1,0,1,1,0,1,1,3,0,0,1
1922,1,1,2,4,2,0,0,1,1,1,1,0,3,0,0,1
1923,1,3,1,0,0,0,0,1,1,0,0,1,1,1,0,0
1924,2,3,2,2,2,0,0,2,1,0,0,0,4,1,0,1
1925,2,2,1,0,2,0,0,2,1,0,1,0,3,1,0,1
1926,1,2,1,4,2,0,0,0,1,0,0,0,2,0,0,1
1927,1,1,1,2,0,0,0,0,0,0,0,1,5,0,0,0
1928,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1
1929,1,3,1,1,0,1,0,2,1,1,0,1,5,1,1,1
1930,1,1,2,3,0,1,0,1,1,0,1,1,2,0,0,1
1931,2,1,1,3,0,1,0,1,0,1,0,1,1,0,0,1
1932,1,2,1,3,0,0,0,0,1,1,0,0,2,0,0,1
1933,2,2,2,4,2,0,0,1,0,0,0,0,2,0,0,0
1934,2,3,2,3,0,0,0,1,0,1,0,1,5,1,0,1
1935,2,2,1,2,2,0,0,2,0,0,1,1,5,0,1,1
1936,2,2,1,0,2,0,0,1,1,1,1,0,2,0,0,1
1937,2,2,2,2,0,0,0,0,0,1,1,1,5,0,0,1
1938,2,3,1,0,2,1,0,2,1,0,0,0,5,1,0,1
1939,1,1,1,1,0,1,0,0,1,0,1,1,3,0,0,1
1940,1,1,2,3,0,0,0,1,1,1,0,0,2,0,0,1
1941,2,2,1,4,2,1,1,1,0,0,0,1,2,0,0,0
1942,2,1,1,3,2,0,0,0,1,1,1,1,3,0,1,0
1943,1,1,2,3,2,0,0,2,1,1,1,1,5,0,0,1
1944,1,3,1,0,0,1,0,1,1,1,1,1,3,1,0,1
1945,2,2,1,1,2,1,0,1,0,1,1,1,3,0,0,1
1946,1,1,1,4,0,1,0,1,1,0,1,1,3,0,0,1
1947,2,1,1,0,2,0,0,2,0,0,1,1,5,0,0,1
1948,1,1,1,2,0,1,1,1,1,0,1,1,5,1,0,1
